surah_no,ayah_no_surah,surah_name_ar,ayah_ar,label,ayah_en,surah_name_en,surah_name_roman
99,1,سورة الزلزلة,إِذَا زُلۡزِلَتِ ٱلۡأَرۡضُ زِلۡزَالَهَا,fear,"When the earth is shaken in its ultimate quaking,",The Earthquake,Az-Zalzalah
99,2,سورة الزلزلة,وَأَخۡرَجَتِ ٱلۡأَرۡضُ أَثۡقَالَهَا,fear,"and when the earth throws out all its contents,",The Earthquake,Az-Zalzalah
99,3,سورة الزلزلة,وَقَالَ ٱلۡإِنسَٰنُ مَا لَهَا,fear,"and humanity cries, What is wrong with it?",The Earthquake,Az-Zalzalah
99,3,سورة الزلزلة,وَقَالَ ٱلۡإِنسَٰنُ مَا لَهَا,fear,"and humanity cries, What is wrong with it?",The Earthquake,Az-Zalzalah
99,6,سورة الزلزلة,يَوۡمَئِذٖ يَصۡدُرُ ٱلنَّاسُ أَشۡتَاتٗا لِّيُرَوۡاْ أَعۡمَٰلَهُمۡ,fear,On that Day people will proceed in separate groups to be shown the consequences of their deeds.,The Earthquake,Az-Zalzalah
99,8,سورة الزلزلة,وَمَن يَعۡمَلۡ مِثۡقَالَ ذَرَّةٖ شَرّٗا يَرَهُۥ,fear,And whoever does an atoms weight of evil will see it.,The Earthquake,Az-Zalzalah
99,7,سورة الزلزلة,فَمَن يَعۡمَلۡ مِثۡقَالَ ذَرَّةٍ خَيۡرٗا يَرَهُۥ,joy,So whoever does an atoms weight of good will see it.,The Earthquake,Az-Zalzalah
98,3,سورة البينة,فِيهَا كُتُبٞ قَيِّمَةٞ,joy,containing upright commandments.,The Clear Proof,Al-Bayyinah
98,7,سورة البينة,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ أُوْلَٰٓئِكَ هُمۡ خَيۡرُ ٱلۡبَرِيَّةِ,joy,"Indeed, those who believe and do goodthey are the best of all beings.",The Clear Proof,Al-Bayyinah
96,2,سورة العلق,خَلَقَ ٱلۡإِنسَٰنَ مِنۡ عَلَقٍ,fear,created humans from a clinging clot.,The Clot,Al-'Alaq
96,8,سورة العلق,إِنَّ إِلَىٰ رَبِّكَ ٱلرُّجۡعَىٰٓ,fear,But surely to your Lord is the return of all.,The Clot,Al-'Alaq
96,14,سورة العلق,أَلَمۡ يَعۡلَم بِأَنَّ ٱللَّهَ يَرَىٰ,fear,Does he not know that Allah sees all?,The Clot,Al-'Alaq
96,15,سورة العلق,كَلَّا لَئِن لَّمۡ يَنتَهِ لَنَسۡفَعَۢا بِٱلنَّاصِيَةِ,fear,"But no! If he does not desist, We will certainly drag him by the forelock",The Clot,Al-'Alaq
96,3,سورة العلق,ٱقۡرَأۡ وَرَبُّكَ ٱلۡأَكۡرَمُ,joy,"Read! And your Lord is the Most Generous,",The Clot,Al-'Alaq
96,6,سورة العلق,كَلَّآ إِنَّ ٱلۡإِنسَٰنَ لَيَطۡغَىٰٓ,sadness,"Most certainly, one exceeds all bounds",The Clot,Al-'Alaq
96,16,سورة العلق,نَاصِيَةٖ كَٰذِبَةٍ خَاطِئَةٖ,sadness,"a lying, sinful forelock.",The Clot,Al-'Alaq
96,17,سورة العلق,فَلۡيَدۡعُ نَادِيَهُۥ,sadness,So let him call his associates.,The Clot,Al-'Alaq
95,7,سورة التين,فَمَا يُكَذِّبُكَ بَعۡدُ بِٱلدِّينِ,anger,"Now, what makes you deny the final Judgment?",The Fig,At-Tin
95,4,سورة التين,لَقَدۡ خَلَقۡنَا ٱلۡإِنسَٰنَ فِيٓ أَحۡسَنِ تَقۡوِيمٖ,joy,"Indeed, We created humans in the best form.",The Fig,At-Tin
94,1,سورة الشرح,أَلَمۡ نَشۡرَحۡ لَكَ صَدۡرَكَ,joy,"Have We not uplifted your heart for you O Prophet,",The Relief,Ash-Sharh
94,4,سورة الشرح,وَرَفَعۡنَا لَكَ ذِكۡرَكَ,joy,and elevated your renown for you?,The Relief,Ash-Sharh
94,6,سورة الشرح,إِنَّ مَعَ ٱلۡعُسۡرِ يُسۡرٗا,joy,Surely with that hardship comes more ease.,The Relief,Ash-Sharh
94,7,سورة الشرح,فَإِذَا فَرَغۡتَ فَٱنصَبۡ,joy,"So once you have fulfilled your duty, strive in devotion,",The Relief,Ash-Sharh
93,3,سورة الضحىٰ,مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَىٰ,joy,"Your Lord O Prophet has not abandoned you, nor has He become hateful of you.",The Morning Hours,Ad-Duhaa
93,4,سورة الضحىٰ,وَلَلۡأٓخِرَةُ خَيۡرٞ لَّكَ مِنَ ٱلۡأُولَىٰ,joy,And the next life is certainly far better for you than this one.,The Morning Hours,Ad-Duhaa
93,7,سورة الضحىٰ,وَوَجَدَكَ ضَآلّٗا فَهَدَىٰ,sadness,Did He not find you unguided then guided you?,The Morning Hours,Ad-Duhaa
93,9,سورة الضحىٰ,فَأَمَّا ٱلۡيَتِيمَ فَلَا تَقۡهَرۡ,sadness,"So do not oppress the orphan,",The Morning Hours,Ad-Duhaa
92,15,سورة الليل,لَا يَصۡلَىٰهَآ إِلَّا ٱلۡأَشۡقَى,anger,in which none will burn except the most wretched,The Night,Al-Layl
92,10,سورة الليل,فَسَنُيَسِّرُهُۥ لِلۡعُسۡرَىٰ,fear,We will facilitate for them the path of hardship.,The Night,Al-Layl
92,11,سورة الليل,وَمَا يُغۡنِي عَنۡهُ مَالُهُۥٓ إِذَا تَرَدَّىٰٓ,fear,And their wealth will be of no benefit to them when they tumble into Hell.,The Night,Al-Layl
92,14,سورة الليل,فَأَنذَرۡتُكُمۡ نَارٗا تَلَظَّىٰ,fear,"And so I have warned you of a raging Fire,",The Night,Al-Layl
92,5,سورة الليل,فَأَمَّا مَنۡ أَعۡطَىٰ وَٱتَّقَىٰ,joy,"As for the one who is charitable, mindful of Allah,",The Night,Al-Layl
92,7,سورة الليل,فَسَنُيَسِّرُهُۥ لِلۡيُسۡرَىٰ,joy,We will facilitate for them the Way of Ease.,The Night,Al-Layl
92,12,سورة الليل,إِنَّ عَلَيۡنَا لَلۡهُدَىٰ,joy,It is certainly upon Us alone to show the way to guidance.,The Night,Al-Layl
92,13,سورة الليل,وَإِنَّ لَنَا لَلۡأٓخِرَةَ وَٱلۡأُولَىٰ,joy,And surely to Us alone belong this life and the next.,The Night,Al-Layl
92,17,سورة الليل,وَسَيُجَنَّبُهَا ٱلۡأَتۡقَى,joy,But the righteous will be spared from it,The Night,Al-Layl
92,20,سورة الليل,إِلَّا ٱبۡتِغَآءَ وَجۡهِ رَبِّهِ ٱلۡأَعۡلَىٰ,joy,"but seeking the pleasure of their Lord, the Most High.",The Night,Al-Layl
92,21,سورة الليل,وَلَسَوۡفَ يَرۡضَىٰ,joy,They will certainly be pleased.,The Night,Al-Layl
91,10,سورة الشمس,وَقَدۡ خَابَ مَن دَسَّىٰهَا,anger,and doomed is the one who corrupts it!,The Sun,Ash-Shams
91,12,سورة الشمس,إِذِ ٱنۢبَعَثَ أَشۡقَىٰهَا,anger,when the most wicked of them was roused to kill the shecamel.,The Sun,Ash-Shams
91,14,سورة الشمس,فَكَذَّبُوهُ فَعَقَرُوهَا فَدَمۡدَمَ عَلَيۡهِمۡ رَبُّهُم بِذَنۢبِهِمۡ فَسَوَّىٰهَا,anger,"Still they defied him and slaughtered her. So their Lord crushed them for their crime, levelling all to the ground.",The Sun,Ash-Shams
91,7,سورة الشمس,وَنَفۡسٖ وَمَا سَوَّىٰهَا,fear,"And by the soul and the One Who fashioned it,",The Sun,Ash-Shams
91,8,سورة الشمس,فَأَلۡهَمَهَا فُجُورَهَا وَتَقۡوَىٰهَا,fear,then with the knowledge of right and wrong inspired it!,The Sun,Ash-Shams
91,9,سورة الشمس,قَدۡ أَفۡلَحَ مَن زَكَّىٰهَا,joy,"Successful indeed is the one who purifies their soul,",The Sun,Ash-Shams
91,13,سورة الشمس,فَقَالَ لَهُمۡ رَسُولُ ٱللَّهِ نَاقَةَ ٱللَّهِ وَسُقۡيَٰهَا,sadness,"But the messenger of Allah warned them, Do not disturb Allahs camel and her turn to drink!",The Sun,Ash-Shams
90,5,سورة البلد,أَيَحۡسَبُ أَن لَّن يَقۡدِرَ عَلَيۡهِ أَحَدٞ,fear,"Do they think that no one has power over them,",The City,Al-Balad
90,7,سورة البلد,أَيَحۡسَبُ أَن لَّمۡ يَرَهُۥٓ أَحَدٌ,fear,Do they think that no one sees them?,The City,Al-Balad
90,10,سورة البلد,وَهَدَيۡنَٰهُ ٱلنَّجۡدَيۡنِ,fear,and shown them the two ways of right and wrong?,The City,Al-Balad
90,19,سورة البلد,وَٱلَّذِينَ كَفَرُواْ بِـَٔايَٰتِنَا هُمۡ أَصۡحَٰبُ ٱلۡمَشۡـَٔمَةِ,fear,"As for those who deny Our signs, they are the people of the left.",The City,Al-Balad
90,20,سورة البلد,عَلَيۡهِمۡ نَارٞ مُّؤۡصَدَةُۢ,fear,The Fire will be sealed over them.,The City,Al-Balad
89,6,سورة الفجر,أَلَمۡ تَرَ كَيۡفَ فَعَلَ رَبُّكَ بِعَادٍ,anger,Did you not see how your Lord dealt with d,The Dawn,Al-Fajr
89,11,سورة الفجر,ٱلَّذِينَ طَغَوۡاْ فِي ٱلۡبِلَٰدِ,anger,"They all transgressed throughout the land,",The Dawn,Al-Fajr
89,14,سورة الفجر,إِنَّ رَبَّكَ لَبِٱلۡمِرۡصَادِ,anger,For your Lord is truly vigilant.,The Dawn,Al-Fajr
89,13,سورة الفجر,فَصَبَّ عَلَيۡهِمۡ رَبُّكَ سَوۡطَ عَذَابٍ,fear,So your Lord unleashed on them a scourge of punishment.,The Dawn,Al-Fajr
89,21,سورة الفجر,كَلَّآۖ إِذَا دُكَّتِ ٱلۡأَرۡضُ دَكّٗا دَكّٗا,fear,"Enough! When the earth is entirely crushed over and over,",The Dawn,Al-Fajr
89,22,سورة الفجر,وَجَآءَ رَبُّكَ وَٱلۡمَلَكُ صَفّٗا صَفّٗا,fear,"and your Lord comes to judge with angels, rank upon rank,",The Dawn,Al-Fajr
89,23,سورة الفجر,وَجِاْيٓءَ يَوۡمَئِذِۭ بِجَهَنَّمَۚ يَوۡمَئِذٖ يَتَذَكَّرُ ٱلۡإِنسَٰنُ وَأَنَّىٰ لَهُ ٱلذِّكۡرَىٰ,fear,and Hell is brought forth on that Daythis is when every disbelieving person will remember their own sins. But what is the use of remembering then?,The Dawn,Al-Fajr
89,25,سورة الفجر,فَيَوۡمَئِذٖ لَّا يُعَذِّبُ عَذَابَهُۥٓ أَحَدٞ,fear,"On that Day He will punish them severely, like no other,",The Dawn,Al-Fajr
89,26,سورة الفجر,وَلَا يُوثِقُ وَثَاقَهُۥٓ أَحَدٞ,fear,"and bind them tightly, like no other.",The Dawn,Al-Fajr
89,2,سورة الفجر,وَلَيَالٍ عَشۡرٖ,joy,"and the ten nights,",The Dawn,Al-Fajr
89,30,سورة الفجر,وَٱدۡخُلِي جَنَّتِي,joy,and enter My Paradise.,The Dawn,Al-Fajr
89,5,سورة الفجر,هَلۡ فِي ذَٰلِكَ قَسَمٞ لِّذِي حِجۡرٍ,sadness,Is all this not a sufficient oath for those who have sense?,The Dawn,Al-Fajr
89,16,سورة الفجر,وَأَمَّآ إِذَا مَا ٱبۡتَلَىٰهُ فَقَدَرَ عَلَيۡهِ رِزۡقَهُۥ فَيَقُولُ رَبِّيٓ أَهَٰنَنِ,sadness,"But when He tests them by limiting their provision, they protest, My Lord has undeservedly humiliated me!",The Dawn,Al-Fajr
89,24,سورة الفجر,يَقُولُ يَٰلَيۡتَنِي قَدَّمۡتُ لِحَيَاتِي,sadness,"They will cry, I wish I had sent forth something good for my true life.",The Dawn,Al-Fajr
89,27,سورة الفجر,يَٰٓأَيَّتُهَا ٱلنَّفۡسُ ٱلۡمُطۡمَئِنَّةُ,sadness,"Allah will say to the righteous, O tranquil soul!",The Dawn,Al-Fajr
88,4,سورة الغاشية,تَصۡلَىٰ نَارًا حَامِيَةٗ,anger,"burning in a scorching Fire,",The Overwhelming,Al-Ghashiyah
88,26,سورة الغاشية,ثُمَّ إِنَّ عَلَيۡنَا حِسَابَهُم,anger,then surely with Us is their reckoning.,The Overwhelming,Al-Ghashiyah
88,1,سورة الغاشية,هَلۡ أَتَىٰكَ حَدِيثُ ٱلۡغَٰشِيَةِ,fear,Has the news of the Overwhelming Event reached you O Prophet?,The Overwhelming,Al-Ghashiyah
88,6,سورة الغاشية,لَّيۡسَ لَهُمۡ طَعَامٌ إِلَّا مِن ضَرِيعٖ,fear,"They will have no food except a foul, thorny shrub,",The Overwhelming,Al-Ghashiyah
88,7,سورة الغاشية,لَّا يُسۡمِنُ وَلَا يُغۡنِي مِن جُوعٖ,fear,neither nourishing nor satisfying hunger.,The Overwhelming,Al-Ghashiyah
88,17,سورة الغاشية,أَفَلَا يَنظُرُونَ إِلَى ٱلۡإِبِلِ كَيۡفَ خُلِقَتۡ,fear,Do they not ever reflect on camelshow they were masterfully created;,The Overwhelming,Al-Ghashiyah
88,25,سورة الغاشية,إِنَّ إِلَيۡنَآ إِيَابَهُمۡ,fear,"Surely to Us is their return,",The Overwhelming,Al-Ghashiyah
88,2,سورة الغاشية,وُجُوهٞ يَوۡمَئِذٍ خَٰشِعَةٌ,joy,"On that Day some faces will be downcast,",The Overwhelming,Al-Ghashiyah
88,5,سورة الغاشية,تُسۡقَىٰ مِنۡ عَيۡنٍ ءَانِيَةٖ,joy,left to drink from a scalding spring.,The Overwhelming,Al-Ghashiyah
88,8,سورة الغاشية,وُجُوهٞ يَوۡمَئِذٖ نَّاعِمَةٞ,joy,"On that Day other faces will be glowing with bliss,",The Overwhelming,Al-Ghashiyah
88,9,سورة الغاشية,لِّسَعۡيِهَا رَاضِيَةٞ,joy,"fully pleased with their striving,",The Overwhelming,Al-Ghashiyah
88,13,سورة الغاشية,فِيهَا سُرُرٞ مَّرۡفُوعَةٞ,joy,"along with thrones raised high,",The Overwhelming,Al-Ghashiyah
88,14,سورة الغاشية,وَأَكۡوَابٞ مَّوۡضُوعَةٞ,joy,"and cups set at hand,",The Overwhelming,Al-Ghashiyah
88,22,سورة الغاشية,لَّسۡتَ عَلَيۡهِم بِمُصَيۡطِرٍ,sadness,You are not there to compel them to believe.,The Overwhelming,Al-Ghashiyah
88,24,سورة الغاشية,فَيُعَذِّبُهُ ٱللَّهُ ٱلۡعَذَابَ ٱلۡأَكۡبَرَ,sadness,then Allah will inflict upon them the major punishment.,The Overwhelming,Al-Ghashiyah
87,10,سورة الاعلىٰ,سَيَذَّكَّرُ مَن يَخۡشَىٰ,fear,Those in awe of Allah will be mindful of it.,The Most High,Al-A'la
87,12,سورة الاعلىٰ,ٱلَّذِي يَصۡلَى ٱلنَّارَ ٱلۡكُبۡرَىٰ,fear,"who will burn in the greatest Fire,",The Most High,Al-A'la
87,9,سورة الاعلىٰ,فَذَكِّرۡ إِن نَّفَعَتِ ٱلذِّكۡرَىٰ,joy,So always remind with the Quraneven if the reminder is beneficial only to some.,The Most High,Al-A'la
87,14,سورة الاعلىٰ,قَدۡ أَفۡلَحَ مَن تَزَكَّىٰ,joy,"Successful indeed are those who purify themselves,",The Most High,Al-A'la
87,5,سورة الاعلىٰ,فَجَعَلَهُۥ غُثَآءً أَحۡوَىٰ,sadness,then reduces it to withered chaff.,The Most High,Al-A'la
86,17,سورة الطارق,فَمَهِّلِ ٱلۡكَٰفِرِينَ أَمۡهِلۡهُمۡ رُوَيۡدَۢا,anger,So bear with the disbelievers O Prophet. Let them be for just a little while.,The Nightcommer,At-Tariq
86,4,سورة الطارق,إِن كُلُّ نَفۡسٖ لَّمَّا عَلَيۡهَا حَافِظٞ,fear,There is no soul without a vigilant angel recording everything.,The Nightcommer,At-Tariq
86,5,سورة الطارق,فَلۡيَنظُرِ ٱلۡإِنسَٰنُ مِمَّ خُلِقَ,fear,Let people then consider what they were created from!,The Nightcommer,At-Tariq
86,6,سورة الطارق,خُلِقَ مِن مَّآءٖ دَافِقٖ,fear,"They were created from a spurting fluid,",The Nightcommer,At-Tariq
86,7,سورة الطارق,يَخۡرُجُ مِنۢ بَيۡنِ ٱلصُّلۡبِ وَٱلتَّرَآئِبِ,fear,stemming from between the backbone and the ribcage.,The Nightcommer,At-Tariq
86,8,سورة الطارق,إِنَّهُۥ عَلَىٰ رَجۡعِهِۦ لَقَادِرٞ,fear,Surely He is fully capable of bringing them back to life,The Nightcommer,At-Tariq
86,9,سورة الطارق,يَوۡمَ تُبۡلَى ٱلسَّرَآئِرُ,fear,on the Day all secrets will be disclosed.,The Nightcommer,At-Tariq
85,10,سورة البروج,إِنَّ ٱلَّذِينَ فَتَنُواْ ٱلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِ ثُمَّ لَمۡ يَتُوبُواْ فَلَهُمۡ عَذَابُ جَهَنَّمَ وَلَهُمۡ عَذَابُ ٱلۡحَرِيقِ,anger,Those who persecute the believing men and women and then do not repent will certainly suffer the punishment of Hell and the torment of burning.,The Mansions of the Stars,Al-Buruj
85,12,سورة البروج,إِنَّ بَطۡشَ رَبِّكَ لَشَدِيدٌ,anger,"Indeed, the crushing grip of your Lord is severe.",The Mansions of the Stars,Al-Buruj
85,19,سورة البروج,بَلِ ٱلَّذِينَ كَفَرُواْ فِي تَكۡذِيبٖ,anger,Yet the disbelievers still persist in denial.,The Mansions of the Stars,Al-Buruj
85,2,سورة البروج,وَٱلۡيَوۡمِ ٱلۡمَوۡعُودِ,fear,"and the promised Day of Judgment,",The Mansions of the Stars,Al-Buruj
85,5,سورة البروج,ٱلنَّارِ ذَاتِ ٱلۡوَقُودِ,fear,"the fire pit, filled with fuel",The Mansions of the Stars,Al-Buruj
85,13,سورة البروج,إِنَّهُۥ هُوَ يُبۡدِئُ وَيُعِيدُ,fear,For He is certainly the One Who originates and resurrects all.,The Mansions of the Stars,Al-Buruj
85,20,سورة البروج,وَٱللَّهُ مِن وَرَآئِهِم مُّحِيطُۢ,fear,But Allah encompasses them from all sides.,The Mansions of the Stars,Al-Buruj
85,11,سورة البروج,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ جَنَّٰتٞ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۚ ذَٰلِكَ ٱلۡفَوۡزُ ٱلۡكَبِيرُ,joy,Surely those who believe and do good will have Gardens under which rivers flow. That is the greatest triumph.,The Mansions of the Stars,Al-Buruj
85,14,سورة البروج,وَهُوَ ٱلۡغَفُورُ ٱلۡوَدُودُ,joy,"And He is the AllForgiving, AllLoving",The Mansions of the Stars,Al-Buruj
85,15,سورة البروج,ذُو ٱلۡعَرۡشِ ٱلۡمَجِيدُ,joy,"Lord of the Throne, the AllGlorious,",The Mansions of the Stars,Al-Buruj
85,6,سورة البروج,إِذۡ هُمۡ عَلَيۡهَا قُعُودٞ,sadness,"when they sat around it,",The Mansions of the Stars,Al-Buruj
84,22,سورة الانشقاق,بَلِ ٱلَّذِينَ كَفَرُواْ يُكَذِّبُونَ,anger,"In fact, the disbelievers persist in denial.",The Sundering,Al-Inshiqaq
84,24,سورة الانشقاق,فَبَشِّرۡهُم بِعَذَابٍ أَلِيمٍ,anger,So give them good news of a painful punishment.,The Sundering,Al-Inshiqaq
84,2,سورة الانشقاق,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,fear,"obeying its Lord as it must,",The Sundering,Al-Inshiqaq
84,3,سورة الانشقاق,وَإِذَا ٱلۡأَرۡضُ مُدَّتۡ,fear,"and when the earth is flattened out,",The Sundering,Al-Inshiqaq
84,4,سورة الانشقاق,وَأَلۡقَتۡ مَا فِيهَا وَتَخَلَّتۡ,fear,"and ejects all its contents and becomes empty,",The Sundering,Al-Inshiqaq
84,6,سورة الانشقاق,يَٰٓأَيُّهَا ٱلۡإِنسَٰنُ إِنَّكَ كَادِحٌ إِلَىٰ رَبِّكَ كَدۡحٗا فَمُلَٰقِيهِ,fear,"O humanity! Indeed, you are labouring restlessly towards your Lord, and will eventually meet the consequences.",The Sundering,Al-Inshiqaq
84,11,سورة الانشقاق,فَسَوۡفَ يَدۡعُواْ ثُبُورٗا,fear,"they will cry for instant destruction,",The Sundering,Al-Inshiqaq
84,12,سورة الانشقاق,وَيَصۡلَىٰ سَعِيرًا,fear,and will burn in the blazing Fire.,The Sundering,Al-Inshiqaq
84,15,سورة الانشقاق,بَلَىٰٓۚ إِنَّ رَبَّهُۥ كَانَ بِهِۦ بَصِيرٗا,fear,Yes they would! Surely their Lord has always been AllSeeing of them.,The Sundering,Al-Inshiqaq
84,19,سورة الانشقاق,لَتَرۡكَبُنَّ طَبَقًا عَن طَبَقٖ,fear,You will certainly pass from one state to another.,The Sundering,Al-Inshiqaq
84,23,سورة الانشقاق,وَٱللَّهُ أَعۡلَمُ بِمَا يُوعُونَ,fear,But Allah knows best whatever they hide.,The Sundering,Al-Inshiqaq
84,8,سورة الانشقاق,فَسَوۡفَ يُحَاسَبُ حِسَابٗا يَسِيرٗا,joy,"they will have an easy reckoning,",The Sundering,Al-Inshiqaq
84,9,سورة الانشقاق,وَيَنقَلِبُ إِلَىٰٓ أَهۡلِهِۦ مَسۡرُورٗا,joy,and will return to their people joyfully.,The Sundering,Al-Inshiqaq
84,18,سورة الانشقاق,وَٱلۡقَمَرِ إِذَا ٱتَّسَقَ,joy,And by the moon when it waxes full!,The Sundering,Al-Inshiqaq
84,25,سورة الانشقاق,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ أَجۡرٌ غَيۡرُ مَمۡنُونِۭ,joy,But those who believe and do good will have a neverending reward.,The Sundering,Al-Inshiqaq
84,10,سورة الانشقاق,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ وَرَآءَ ظَهۡرِهِۦ,sadness,"And as for those who are given their record in their left hand from behind their backs,",The Sundering,Al-Inshiqaq
84,13,سورة الانشقاق,إِنَّهُۥ كَانَ فِيٓ أَهۡلِهِۦ مَسۡرُورًا,sadness,"For they used to be prideful among their people,",The Sundering,Al-Inshiqaq
83,1,سورة المطففين,وَيۡلٞ لِّلۡمُطَفِّفِينَ,anger,Woe to the defrauders!,The Defrauding,Al-Mutaffifin
83,3,سورة المطففين,وَإِذَا كَالُوهُمۡ أَو وَّزَنُوهُمۡ يُخۡسِرُونَ,anger,but give less when they measure or weigh for buyers.,The Defrauding,Al-Mutaffifin
83,12,سورة المطففين,وَمَا يُكَذِّبُ بِهِۦٓ إِلَّا كُلُّ مُعۡتَدٍ أَثِيمٍ,anger,None would deny it except every evildoing transgressor.,The Defrauding,Al-Mutaffifin
83,13,سورة المطففين,إِذَا تُتۡلَىٰ عَلَيۡهِ ءَايَٰتُنَا قَالَ أَسَٰطِيرُ ٱلۡأَوَّلِينَ,anger,"Whenever Our revelations are recited to them, they say, Ancient fables!",The Defrauding,Al-Mutaffifin
